filenames,result,result2,result3,nnpens,nepens,eepens
graph_0,2610.338339037808,2432.147430178798,2253.956521319788,1126.978260659894,1126.978260659894,356.38181771801993
graph_1,1840.4969192881535,1276.7765351269677,713.056150965782,356.528075482891,356.528075482891,1127.4407683223717
graph_2,1206.8066465444895,971.284604162826,735.7625617811625,356.38181771802,379.38074406314246,471.044084763327
graph_3,1138.3664191375915,960.1510296963453,781.9356402550991,356.4307788824924,425.50486137260674,356.4307788824924
graph_4,1651.147176294257,1281.9164067754318,912.6856372566067,356.43429757691143,556.2513396796953,738.4615390376504
graph_5,2963.7049881059074,2609.8435330173793,2255.982077928851,1127.9910389644256,1127.9910389644256,707.7229101770562
graph_6,1150.1854568941767,931.4886067996894,712.791756705202,356.395878352601,356.395878352601,437.3937001889747
graph_7,2305.053569225317,1741.247938522747,1177.4423078201773,356.5819901295759,820.8603176906014,1127.6112614051394
graph_8,1828.7120886622438,1492.322530124983,1155.9329715877218,357.07870749515337,798.8542640925684,672.7791170745221
graph_9,1843.7896832993672,1341.508355678658,839.2270280579487,356.417073407318,482.8099546506307,1004.5626552414185
graph_10,1467.3077889796964,1109.0840261991268,750.8602634185575,356.398304471879,394.46195894667846,716.4475255611388
graph_11,2116.9038962575924,1553.2355539631503,989.5672116687082,356.49516131637154,633.0720503523366,1127.3366845888843
graph_12,2228.652574160899,1718.0388583739332,1207.4251425869675,356.38181771801993,851.0433248689476,1021.2274315739314
graph_13,2808.999265956875,2533.4526699759244,2257.906073994973,1128.9530369974866,1128.9530369974866,551.0931919619022
graph_14,1799.659075431703,1418.0141402885324,1036.369205145362,356.7916696737446,679.5775354716175,763.2898702863409
graph_15,1317.108487669083,1023.1917955383533,729.2751034076236,356.3925326322829,372.88257077534075,587.8333842614594
graph_16,1629.2400161002843,1379.2008285750046,1129.161641049725,356.8137358359125,772.3479052138125,500.07837505055943
graph_17,2412.7261328286477,2234.1379598709996,2055.549786913351,1016.7594102906294,1038.7903766227216,357.17634591529674
graph_18,1555.4189322584036,1134.0912838472218,712.7636354360399,356.38181771801993,356.38181771801993,842.6552968223638
graph_19,1199.275551322596,963.2249933672887,727.1744354119814,356.40244833111643,370.77198708086496,472.1011159106144
graph_20,2520.905600118327,2038.234586690107,1555.5635732618869,585.0825516477603,970.4810216141266,965.3420268564405
graph_21,2045.3914333241632,1650.716581046606,1256.041728769049,356.59114934942255,899.4505794196265,789.349704555114
graph_22,1199.7735690405273,967.0371655109709,734.3007619814144,356.4115473044492,377.88921467696525,465.4728070591128
graph_23,2216.324039268634,1732.8539459611966,1249.383852653759,356.6074890579699,892.7763635957891,966.9401866148748
graph_24,2092.6539658229167,1711.0259834867443,1329.3980011505716,371.0657784152697,958.332222735302,763.255964672345
graph_25,1887.978214647624,1398.5248696059741,909.0715245643241,356.38181771801993,552.6897068463041,978.9066900833
graph_26,2054.762283986784,1516.3893367361816,978.0163894855791,356.5644163824225,621.4519731031567,1076.745894501205
graph_27,1381.1327587729847,1084.6796527765232,788.2265467800617,356.38181771801993,431.8447290620417,592.906211992923
graph_28,1625.6883749747176,1247.9415146629308,870.1946543511438,356.4393038681078,513.755350483036,755.4937206235738
graph_29,1439.9838339085343,1096.2144125735617,752.444991238589,356.38181771801993,396.063173520569,687.5388426699453
graph_30,1714.7381940479106,1379.8654765788278,1044.9927591097453,359.5535101627328,685.4392489470126,669.7454349381653
graph_31,1607.7708257178533,1405.1239036346642,1202.4769815514753,417.1467774113397,785.3302041401356,405.2938441663779
graph_32,1369.4126488077607,1128.2014217083022,886.9901946088438,356.48657492498796,530.5036196838558,482.42245419891685
graph_33,1993.0975916851075,1779.9623329343185,1566.8270741835295,712.8858648580048,853.9412093255248,426.2705175015782
graph_34,1198.1018113820796,972.7352882400226,747.3687650979655,356.38181771801993,390.9869473799456,450.73304628411404
graph_35,1370.2638915185496,1183.814620636238,997.3653497539262,356.63788351523175,640.7274662386944,372.89854176462336
graph_36,2478.29807075637,2250.975582574644,2023.6530943929174,1014.3736830496264,1009.2794113432911,454.644976363453
graph_37,1761.6932693995032,1252.589652200549,743.4860350015947,356.4286565607241,387.0573784408706,1018.2072343979083
graph_38,1714.3323357196618,1306.1469597354878,897.9615837513139,356.5378720324509,541.423711718863,816.3707519683478
graph_39,1524.6117439074196,1230.5712002555265,936.5306566036334,356.44929381543284,580.0813627882005,588.0810873037863
graph_40,1382.9308094962705,1204.2040430406912,1025.477276585112,357.45353291115856,668.0237436739534,357.45353291115856
graph_41,1828.9895778921084,1468.9294955052414,1108.8694131183745,381.7382242672292,727.1311888511453,720.1201647737339
graph_42,1512.8437815779484,1162.1917229553078,811.5396643326674,356.4543120822429,455.08535225042453,701.3041172452811
graph_43,1425.4413247171842,1175.7816183977143,926.1219120782446,356.38181771801993,569.7400943602247,499.3194126389396
graph_44,2109.9515100882,1836.072435079396,1562.193360070592,607.5730089955723,954.6203510750197,547.7581500176079
graph_45,1678.5712699634123,1425.206444080135,1171.8416181968578,405.8455239188343,765.9960942780234,506.7296517665545
graph_46,2792.251086093552,2529.458340605266,2266.6655951169796,1133.3327975584898,1133.3327975584898,525.5854909765726
graph_47,1414.7017419834742,1063.7574824603641,712.8132229372538,356.4066114686269,356.4066114686269,701.8885190462205
